run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
896b4afc-2bd2-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,50,./cmd_set_test.sh,0,0,fixed,3.820298111,3.872870857,Success,50733.3508970237
896b4afc-2bd2-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,50,./cmd_get_test.sh,1,1,fixed,3.873072897,3.928713507,Success,130860.277811843
896b4afc-2bd2-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,50,./get_hits_test.sh,2,2,fixed,3.928911044,3.979101443,Success,67981.1367731803
8a1b2228-2bd3-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,50,./cmd_set_test.sh,0,0,fixed,4.015581074,4.066602135,Success,48856.3676361505
8a1b2228-2bd3-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,50,./cmd_get_test.sh,1,1,fixed,4.066801081,4.12149232,Success,130313.714598926
8a1b2228-2bd3-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,50,./get_hits_test.sh,2,2,fixed,4.1216887,4.17643487,Success,65553.3675716885
8ade1ee4-2bd4-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,50,./cmd_set_test.sh,0,0,fixed,4.214166144,4.267988123,Success,51172.2804943217
8ade1ee4-2bd4-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,50,./cmd_get_test.sh,1,1,fixed,4.268191018,4.322130564,Success,133286.782312197
8ade1ee4-2bd4-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,50,./get_hits_test.sh,2,2,fixed,4.322327212,4.377630048,Success,66717.3151302813
8ba1e3fa-2bd5-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,50,./cmd_set_test.sh,0,0,fixed,4.416094785,4.468871178,Success,51150.1010158868
8ba1e3fa-2bd5-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,50,./cmd_get_test.sh,1,1,fixed,4.469069373,4.520644952,Success,129047.396207513
8ba1e3fa-2bd5-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,50,./get_hits_test.sh,2,2,fixed,4.520843918,4.573915797,Success,69782.5281678291
8c5ede8c-2bd6-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,50,./cmd_set_test.sh,0,0,fixed,4.612943504,4.666844864,Success,50398.2710114449
8c5ede8c-2bd6-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,50,./cmd_get_test.sh,1,1,fixed,4.667041876,4.722129031,Success,132162.649060914
8c5ede8c-2bd6-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,50,./get_hits_test.sh,2,2,fixed,4.722323003,4.773565052,Success,67962.5596120446
8d137814-2bd7-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,5,50,./cmd_set_test.sh,0,0,fixed,4.811639581,4.865959614,Success,50183.3204898661
8d137814-2bd7-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,5,50,./cmd_get_test.sh,1,1,fixed,4.866164277,4.921071849,Success,133407.748380103
8d137814-2bd7-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,5,50,./get_hits_test.sh,2,2,fixed,4.921268961,4.977259766,Success,79107.0292242562
8dd90074-2bd8-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,6,50,./cmd_set_test.sh,0,0,fixed,5.013453168,5.069052132,Success,51563.0827026957
8dd90074-2bd8-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,6,50,./cmd_get_test.sh,1,1,fixed,5.069248515,5.123116188,Success,134265.593878274
8dd90074-2bd8-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,6,50,./get_hits_test.sh,2,2,fixed,5.123331355,5.178448492,Success,70967.5449098755
8e8e61de-2bd9-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,7,50,./cmd_set_test.sh,0,0,fixed,5.216037259,5.269342331,Success,50587.8885157276
8e8e61de-2bd9-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,7,50,./cmd_get_test.sh,1,1,fixed,5.269558905,5.32474043,Success,131520.165508854
8e8e61de-2bd9-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,7,50,./get_hits_test.sh,2,2,fixed,5.324938471,5.380098337,Success,69282.8449203545
8f51ffda-2bda-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,8,50,./cmd_set_test.sh,0,0,fixed,5.4161128,5.470941243,Success,49753.2987846743
8f51ffda-2bda-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,8,50,./cmd_get_test.sh,1,1,fixed,5.471138065,5.523502656,Success,134694.618303555
8f51ffda-2bda-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,8,50,./get_hits_test.sh,2,2,fixed,5.523700898,5.576980466,Success,69323.8975439488
90130256-2bdb-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,9,50,./cmd_set_test.sh,0,0,fixed,5.613606671,5.666767691,Success,49257.9758745763
90130256-2bdb-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,9,50,./cmd_get_test.sh,1,1,fixed,5.666962789,5.719999787,Success,129834.078961961
90130256-2bdb-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,9,50,./get_hits_test.sh,2,2,fixed,5.720194851,5.773559361,Success,66241.3592984058
90cb4338-2bdc-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,10,50,./cmd_set_test.sh,0,0,fixed,5.811107822,5.865180079,Success,49629.8780638718
90cb4338-2bdc-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,10,50,./cmd_get_test.sh,1,1,fixed,5.865379941,5.918990818,Success,135995.04238671
90cb4338-2bdc-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,10,50,./get_hits_test.sh,2,2,fixed,5.919186467,5.969907371,Success,75240.9438077081
9190e27c-2bdd-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,11,50,./cmd_set_test.sh,0,0,fixed,6.007163208,6.060692556,Success,49208.4330696166
9190e27c-2bdd-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,11,50,./cmd_get_test.sh,1,1,fixed,6.060891038,6.114938102,Success,126682.235001419
9190e27c-2bdd-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,11,50,./get_hits_test.sh,2,2,fixed,6.115133043,6.169844108,Success,63895.4379433235
9250ff84-2bde-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,12,50,./cmd_set_test.sh,0,0,fixed,6.20651578,6.258358336,Success,48011.6027099153
9250ff84-2bde-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,12,50,./cmd_get_test.sh,1,1,fixed,6.258554934,6.310511466,Success,130586.451567084
9250ff84-2bde-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,12,50,./get_hits_test.sh,2,2,fixed,6.310706129,6.364190472,Success,67277.233064599
930cf85a-2bdf-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,13,50,./cmd_set_test.sh,0,0,fixed,6.402404453,6.4545698,Success,50031.5098405091
930cf85a-2bdf-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,13,50,./cmd_get_test.sh,1,1,fixed,6.454766735,6.506159484,Success,131725.983901073
930cf85a-2bdf-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,13,50,./get_hits_test.sh,2,2,fixed,6.506358995,6.558352854,Success,73988.4847221991
93c8b238-2be0-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,14,50,./cmd_set_test.sh,0,0,fixed,6.596273499,6.650450298,Success,49691.5188289016
93c8b238-2be0-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,14,50,./cmd_get_test.sh,1,1,fixed,6.650667717,6.706018361,Success,130545.655002933
93c8b238-2be0-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,14,50,./get_hits_test.sh,2,2,fixed,6.706216051,6.761752456,Success,78248.1528306393
948c2b68-2be1-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,15,50,./cmd_set_test.sh,0,0,fixed,6.799220969,6.853072597,Success,52220.0597431359
948c2b68-2be1-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,15,50,./cmd_get_test.sh,1,1,fixed,6.853272291,6.907094515,Success,129529.731962549
948c2b68-2be1-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,15,50,./get_hits_test.sh,2,2,fixed,6.907293307,6.962709795,Success,79365.9850934854
954e58cc-2be2-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,16,50,./cmd_set_test.sh,0,0,fixed,6.999455874,7.055012913,Success,51454.419912191
954e58cc-2be2-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,16,50,./cmd_get_test.sh,1,1,fixed,7.05521077,7.109032214,Success,132746.553798887
954e58cc-2be2-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,16,50,./get_hits_test.sh,2,2,fixed,7.10922815,7.164242668,Success,73462.1503290293
96101a88-2be3-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,17,50,./cmd_set_test.sh,0,0,fixed,7.202983575,7.254926731,Success,49579.8949035101
96101a88-2be3-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,17,50,./cmd_get_test.sh,1,1,fixed,7.255125193,7.308396817,Success,130779.124135069
96101a88-2be3-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,17,50,./get_hits_test.sh,2,2,fixed,7.308593144,7.360578236,Success,78160.8117516035
96d02908-2be4-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,18,50,./cmd_set_test.sh,0,0,fixed,7.39732763,7.45026191,Success,49332.948723467
96d02908-2be4-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,18,50,./cmd_get_test.sh,1,1,fixed,7.450493385,7.50306163,Success,133314.55587369
96d02908-2be4-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,18,50,./get_hits_test.sh,2,2,fixed,7.503260816,7.556625106,Success,73827.2065634988
978feeea-2be5-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,19,50,./cmd_set_test.sh,0,0,fixed,7.594830577,7.646318561,Success,50934.0938657996
978feeea-2be5-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,19,50,./cmd_get_test.sh,1,1,fixed,7.646517668,7.702639378,Success,128589.14857876
978feeea-2be5-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,19,50,./get_hits_test.sh,2,2,fixed,7.702837593,7.755534101,Success,68630.6417551213
985367f2-2be6-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,20,50,./cmd_set_test.sh,0,0,fixed,7.792953511,7.846444504,Success,50480.8389329033
985367f2-2be6-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,20,50,./cmd_get_test.sh,1,1,fixed,7.846643611,7.900331965,Success,133105.931791115
985367f2-2be6-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,20,50,./get_hits_test.sh,2,2,fixed,7.900529471,7.952910421,Success,78301.0065619724
991065cc-2be7-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,21,50,./cmd_set_test.sh,0,0,fixed,7.990946918,8.046817439,Success,48013.6228781795
991065cc-2be7-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,21,50,./cmd_get_test.sh,1,1,fixed,8.047014715,8.101705079,Success,130551.521542768
991065cc-2be7-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,21,50,./get_hits_test.sh,2,2,fixed,8.101902589,8.156467321,Success,82605.8027728274
99c9f3ba-2be8-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,22,50,./cmd_set_test.sh,0,0,fixed,8.192941736,8.246944483,Success,48854.774327044
99c9f3ba-2be8-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,22,50,./cmd_get_test.sh,1,1,fixed,8.247141585,8.30087189,Success,129552.521954753
99c9f3ba-2be8-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,22,50,./get_hits_test.sh,2,2,fixed,8.301069226,8.352865752,Success,80298.470385545
9a8d18b2-2be9-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,23,50,./cmd_set_test.sh,0,0,fixed,8.390123282,8.444784184,Success,49813.8959590729
9a8d18b2-2be9-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,23,50,./cmd_get_test.sh,1,1,fixed,8.444982606,8.498499638,Success,134223.351552582
9a8d18b2-2be9-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,23,50,./get_hits_test.sh,2,2,fixed,8.498691578,8.549190563,Success,80004.9707725506
9b4a7190-2bea-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,24,50,./cmd_set_test.sh,0,0,fixed,8.586906543,8.63977473,Success,50337.2000262274
9b4a7190-2bea-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,24,50,./cmd_get_test.sh,1,1,fixed,8.639977018,8.695039875,Success,133546.587883005
9b4a7190-2bea-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,24,50,./get_hits_test.sh,2,2,fixed,8.695287818,8.748705607,Success,73914.4769777365
9c0e4eca-2beb-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,25,50,./cmd_set_test.sh,0,0,fixed,8.786445286,8.842064134,Success,51673.7821470155
9c0e4eca-2beb-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,25,50,./cmd_get_test.sh,1,1,fixed,8.842264016,8.896877654,Success,131942.048489477
9c0e4eca-2beb-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,25,50,./get_hits_test.sh,2,2,fixed,8.89707484,8.952741794,Success,65706.8297666049
9cc2ad38-2bec-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,26,50,./cmd_set_test.sh,0,0,fixed,8.99031022,9.04498765,Success,52033.8943731079
9cc2ad38-2bec-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,26,50,./cmd_get_test.sh,1,1,fixed,9.045217527,9.097274773,Success,129199.997102187
9cc2ad38-2bec-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,26,50,./get_hits_test.sh,2,2,fixed,9.097473378,9.151218287,Success,72131.3859762268
9d717aba-2bed-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,27,50,./cmd_set_test.sh,0,0,fixed,9.190282467,9.243769089,Success,48899.3578037526
9d717aba-2bed-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,27,50,./cmd_get_test.sh,1,1,fixed,9.243974627,9.299099471,Success,131921.85851818
9d717aba-2bed-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,27,50,./get_hits_test.sh,2,2,fixed,9.299299026,9.350967408,Success,71266.2489952813
9e2d6968-2bee-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,28,50,./cmd_set_test.sh,0,0,fixed,9.387801884,9.442377902,Success,49804.8690719685
9e2d6968-2bee-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,28,50,./cmd_get_test.sh,1,1,fixed,9.442576508,9.496762201,Success,130331.99990298
9e2d6968-2bee-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,28,50,./get_hits_test.sh,2,2,fixed,9.496961284,9.549939564,Success,69123.7296523767
9ee6c6dc-2bef-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,29,50,./cmd_set_test.sh,0,0,fixed,9.586299725,9.640625255,Success,50776.840933997
9ee6c6dc-2bef-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,29,50,./cmd_get_test.sh,1,1,fixed,9.640821525,9.694796351,Success,131961.636426452
9ee6c6dc-2bef-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,29,50,./get_hits_test.sh,2,2,fixed,9.694999196,9.74925613,Success,77417.386355292
9fa0e282-2bf0-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,30,50,./cmd_set_test.sh,0,0,fixed,9.787708187,9.842782227,Success,51971.1764379387
9fa0e282-2bf0-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,30,50,./cmd_get_test.sh,1,1,fixed,9.842982286,9.894925291,Success,128926.8989473
9fa0e282-2bf0-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,30,50,./get_hits_test.sh,2,2,fixed,9.895124465,9.94813002,Success,70156.7466471877
a0645856-2bf1-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,31,50,./cmd_set_test.sh,0,0,fixed,9.985791617,10.0404471,Success,49091.4983705643
a0645856-2bf1-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,31,50,./cmd_get_test.sh,1,1,fixed,10.040644536,10.095404948,Success,132803.976364738
a0645856-2bf1-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,31,50,./get_hits_test.sh,2,2,fixed,10.095764655,10.149728196,Success,70152.4791138412
a11fe5a2-2bf2-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,32,50,./cmd_set_test.sh,0,0,fixed,10.186230015,10.237521384,Success,51155.4324816468
a11fe5a2-2bf2-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,32,50,./cmd_get_test.sh,1,1,fixed,10.237720448,10.292333123,Success,135736.542946918
a11fe5a2-2bf2-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,32,50,./get_hits_test.sh,2,2,fixed,10.292532086,10.344773368,Success,68665.1652350945
a1e10d80-2bf3-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,33,50,./cmd_set_test.sh,0,0,fixed,10.382325792,10.438324211,Success,50030.5348308263
a1e10d80-2bf3-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,33,50,./cmd_get_test.sh,1,1,fixed,10.438522693,10.491530282,Success,129188.985206797
a1e10d80-2bf3-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,33,50,./get_hits_test.sh,2,2,fixed,10.49172979,10.546328397,Success,64823.1095889889
a29d7a0a-2bf4-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,34,50,./cmd_set_test.sh,0,0,fixed,10.582038423,10.637350976,Success,51895.7513860407
a29d7a0a-2bf4-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,34,50,./cmd_get_test.sh,1,1,fixed,10.637548185,10.691992942,Success,128161.053134884
a29d7a0a-2bf4-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,34,50,./get_hits_test.sh,2,2,fixed,10.692216816,10.746567499,Success,66362.684302948
a3586eb8-2bf5-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,35,50,./cmd_set_test.sh,0,0,fixed,10.783844065,10.837625728,Success,50345.1121584861
a3586eb8-2bf5-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,35,50,./cmd_get_test.sh,1,1,fixed,10.837823338,10.89175106,Success,133315.919799108
a3586eb8-2bf5-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,35,50,./get_hits_test.sh,2,2,fixed,10.891952538,10.946960576,Success,67608.8097179415
a4153132-2bf6-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,36,50,./cmd_set_test.sh,0,0,fixed,10.983754357,11.037821937,Success,52240.9786581001
a4153132-2bf6-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,36,50,./cmd_get_test.sh,1,1,fixed,11.038018585,11.091058586,Success,129047.742370331
a4153132-2bf6-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,36,50,./get_hits_test.sh,2,2,fixed,11.091260673,11.149741726,Success,67044.1160099939
a4d969c0-2bf7-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,37,50,./cmd_set_test.sh,0,0,fixed,11.186492011,11.242708263,Success,51789.6349118628
a4d969c0-2bf7-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,37,50,./cmd_get_test.sh,1,1,fixed,11.242916938,11.297261252,Success,133283.201450833
a4d969c0-2bf7-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,37,50,./get_hits_test.sh,2,2,fixed,11.29746414,11.351803948,Success,75408.1514633304
a5a258c0-2bf8-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,38,50,./cmd_set_test.sh,0,0,fixed,11.388734591,11.439456744,Success,50719.0281782231
a5a258c0-2bf8-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,38,50,./cmd_get_test.sh,1,1,fixed,11.439657992,11.494101933,Success,128737.098753921
a5a258c0-2bf8-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,38,50,./get_hits_test.sh,2,2,fixed,11.494300358,11.547776183,Success,66244.9367339469
a65f52e4-2bf9-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,39,50,./cmd_set_test.sh,0,0,fixed,11.58679594,11.640802168,Success,50818.5909596812
a65f52e4-2bf9-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,39,50,./cmd_get_test.sh,1,1,fixed,11.641001254,11.694547953,Success,133468.535642278
a65f52e4-2bf9-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,39,50,./get_hits_test.sh,2,2,fixed,11.694744574,11.747538872,Success,65936.3853437053
a7243ae0-2bfa-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,40,50,./cmd_set_test.sh,0,0,fixed,11.784804641,11.838576117,Success,49433.4353644846
a7243ae0-2bfa-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,40,50,./cmd_get_test.sh,1,1,fixed,11.838777529,11.892761731,Success,132464.921638481
a7243ae0-2bfa-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,40,50,./get_hits_test.sh,2,2,fixed,11.892958185,11.945905148,Success,67498.1785614952
a7e4bc6a-2bfb-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,41,50,./cmd_set_test.sh,0,0,fixed,11.98309329,12.036508101,Success,49248.0207452663
a7e4bc6a-2bfb-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,41,50,./cmd_get_test.sh,1,1,fixed,12.036708183,12.088853922,Success,126321.781382311
a7e4bc6a-2bfb-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,41,50,./get_hits_test.sh,2,2,fixed,12.089053022,12.143219475,Success,74493.0998758075
a89bcae4-2bfc-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,42,50,./cmd_set_test.sh,0,0,fixed,12.182248266,12.235914472,Success,51317.8048056852
a89bcae4-2bfc-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,42,50,./cmd_get_test.sh,1,1,fixed,12.236113642,12.287511643,Success,132031.289728759
a89bcae4-2bfc-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,42,50,./get_hits_test.sh,2,2,fixed,12.287706483,12.341488738,Success,73945.3360871918
a95f673c-2bfd-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,43,50,./cmd_set_test.sh,0,0,fixed,12.378993777,12.437106526,Success,49193.7104032771
a95f673c-2bfd-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,43,50,./cmd_get_test.sh,1,1,fixed,12.437331746,12.488921362,Success,124323.969164002
a95f673c-2bfd-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,43,50,./get_hits_test.sh,2,2,fixed,12.489118744,12.543348015,Success,70644.2069929754
aa1b07d4-2bfe-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,44,50,./cmd_set_test.sh,0,0,fixed,12.580377884,12.634027492,Success,49217.0061865136
aa1b07d4-2bfe-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,44,50,./cmd_get_test.sh,1,1,fixed,12.634242449,12.68956138,Success,134228.074701696
aa1b07d4-2bfe-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,44,50,./get_hits_test.sh,2,2,fixed,12.689757055,12.742342589,Success,68758.2368923716
aae1d49e-2bff-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,45,50,./cmd_set_test.sh,0,0,fixed,12.779824734,12.832625244,Success,49990.937649834
aae1d49e-2bff-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,45,50,./cmd_get_test.sh,1,1,fixed,12.832823669,12.887174077,Success,131575.170681251
aae1d49e-2bff-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,45,50,./get_hits_test.sh,2,2,fixed,12.887372131,12.942172354,Success,69491.2428019138
aba0c0d8-2c00-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,46,50,./cmd_set_test.sh,0,0,fixed,13.009035779,13.061931241,Success,50347.9847751993
aba0c0d8-2c00-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,46,50,./cmd_get_test.sh,1,1,fixed,13.062130415,13.11556631,Success,131813.007587888
aba0c0d8-2c00-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,46,50,./get_hits_test.sh,2,2,fixed,13.115764371,13.170308013,Success,69112.8680419548
ac633de2-2c01-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,47,50,./cmd_set_test.sh,0,0,fixed,13.208435099,13.260809244,Success,50654.4008544169
ac633de2-2c01-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,47,50,./cmd_get_test.sh,1,1,fixed,13.261033796,13.311163945,Success,133302.007090368
ac633de2-2c01-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,47,50,./get_hits_test.sh,2,2,fixed,13.31136222,13.365909317,Success,75123.305608233
ad1eaef0-2c02-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,48,50,./cmd_set_test.sh,0,0,fixed,13.404940421,13.45896467,Success,48137.4002482719
ad1eaef0-2c02-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,48,50,./cmd_get_test.sh,1,1,fixed,13.459168124,13.514018586,Success,126953.28543978
ad1eaef0-2c02-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,48,50,./get_hits_test.sh,2,2,fixed,13.514219002,13.567993432,Success,71110.5190502408
addabb30-2c03-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,49,50,./cmd_set_test.sh,0,0,fixed,13.60461444,13.65812091,Success,49586.0088472999
addabb30-2c03-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,49,50,./cmd_get_test.sh,1,1,fixed,13.658316061,13.711839055,Success,126242.859996316
addabb30-2c03-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,49,50,./get_hits_test.sh,2,2,fixed,13.71203306,13.764912862,Success,70876.0260257839
